year,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
1978,,,,,,,,,,,606893.658,706099.317
1979,840498.561,922075.196,1031144.947,904254.808,789391.835,581559.2,266857.7,70360.389,36028.987,109447.816,480113.733,743776.569
1980,870924.628,958526.404,1036412.094,983828.079,813411.383,579975.678,298696.412,59139.489,25742.736,122165.33,410983.081,688569.466
1981,928643.884,1023671.618,951153.228,966782.27,807937.058,527055.01,208647.411,44833.235,30315.646,71870.865,409030.219,704472.29
1982,853589.217,1132306.39,1211558.994,1099459.619,961648.008,693276.146,273867.893,61428.104,41946.071,181437.281,567686.028,949026.679
1983,1344357.444,1411802.828,1448513.411,1336879.236,1004132.325,700492.943,378127.415,128269.166,65037.34,207974.965,616206.932,922757.692
1984,1352687.243,1493352.85,1374131.848,1283182.03,1054911.269,692033.942,302207.176,55025.335,29715.076,91224.095,406969.237,892037.293
1985,1119230.678,1158142.194,1229934.259,1095967.299,870215.733,520705.187,136933.117,31704.746,27286.91,76864.312,392734.335,627838.171
1986,860828.359,969564.955,1057288.334,933987.085,737662.169,557066.914,333038.535,94441.838,28500.658,267378.747,638272.721,873309.149
1987,1058729.505,1116347.352,1084437.721,1089998.278,882075.261,650603.424,300755.608,48398.989,21253.58,157871.088,474216.615,
1988,,1122067.902,1068307.455,965922.738,804818.739,569047.926,232041.983,49552.45,13939.369,42192.478,367611.488,727488.906
1989,994036.976,1168122.644,1193665.498,1058922.068,820853.334,603127.345,269868.981,66694.483,37693.418,155005.915,499135.011,758913.619
1990,1124221.818,1334781.677,1329860.522,1136147.243,929264.671,608514.911,213306.849,27942.135,27379.369,188579.638,568143.711,840946.294
1991,1219302.816,1338614.136,1287561.467,1215638.88,1017733.936,667409.433,238506.34,40234.709,30219.905,94683.883,456519.465,787241.379
1992,1069124.878,1307519.571,1228747.845,1084515.397,960229.531,646845.618,327036.488,83021.544,50596.611,76331.383,458943.044,863888.151
1993,1325296.452,1462779.768,1470519.833,1280232.597,990511.502,603126.577,298242.861,80437.959,48815.975,123053.123,581867.448,868016.386
1994,1078793.134,1318887.111,1268010.241,1097312.672,820416.674,536648.074,204187.341,36168.089,27523.587,136940.798,428742.301,771817.773
1995,1023039.811,1170138.887,1196998.783,1048310.792,732768.189,507535.93,225179.074,48424.565,35986.221,156036.165,394051.11,692942.264
1996,952876.334,1076610.651,1044027.218,939445.448,772440.936,654629.415,364232.057,141584.782,80773.767,270172.382,556628.579,687889.499
1997,814039.194,1098257.139,1139388.231,994390.502,776635.752,521662.316,183942.496,43484.768,43024.58,189156.137,454621.372,642808.327
1998,884899.129,1046105.644,1057649.044,931043.046,721353.116,464260.922,167225.488,37239.749,31980.793,83496.979,346894.95,573983.96
1999,860478.467,1055607.444,1062272.792,919203.596,829450.016,550370.159,225209.98,58093.023,32853.432,97976.315,477212.884,712953.046
2000,915963.648,1088424.7,1138024.792,944484.118,786115.656,472290.91,154040.586,31900.401,34082.603,93724.417,367226.296,626860.31
2001,876337.007,1089311.893,1001452.213,946912.506,767405.422,469112.45,152224.41,34164.226,34389.499,79626.905,355712.07,615672.279
2002,769784.448,997174.38,1082520.868,955160.708,733541.809,458828.123,146511.783,32437.631,26228.807,50324.384,230145.159,547967.178
2003,742061.276,989924.184,1041501.967,939793.62,693187.471,357358.864,88604.511,26529.575,23636.026,43116.339,281039.85,564712.529
2004,745823.069,861060.134,961566.983,880519.558,675179.793,460744.177,181469.818,40901.516,26641.83,47977.108,370549.923,669400.677
2005,920833.87,990570.444,850498.951,809928.641,689999.672,447971.622,158737.488,23830.832,20392.873,86727.64,348541.619,546639.257
2006,828567.297,941080.227,843125.087,820538.364,640453.076,375703.871,101649.371,25766.172,20965.752,46375.685,207541.99,570962.563
2007,795072.905,870481.409,952784.883,960625.241,786965.84,438868.135,113933.333,24236.592,19864.505,66001.074,376193.66,672270.876
2008,1038168.545,1198482.865,1244280.069,1037003.661,752944.076,407990.911,121370.186,19716.449,22616.191,80394.012,426185.053,705591.892
2009,869055.548,1058367.479,1187784.173,1052861.228,780195.659,407617.307,111883.546,20340.595,20233.87,67413.29,400266.615,592668.064
2010,731808.124,817384.11,925220.04,877956.517,663974.829,392841.323,112512.0,21598.538,28593.751,65269.605,221460.555,429836.145
2011,555326.853,742400.051,888511.208,912644.367,681078.136,421764.338,78300.911,17076.74,17047.749,112167.376,397131.575,664210.224
2012,934548.074,1046979.061,1205368.669,1002430.618,751372.906,364219.664,68031.679,17504.16,16504.826,40353.915,241583.125,576878.27
2013,834099.964,1012069.183,944362.039,868850.673,759646.369,479536.463,94919.548,27406.3,32149.554,68285.576,336816.518,676706.482
2014,887026.929,1051881.948,1169652.429,1067392.535,786801.891,352997.846,55819.186,15400.886,14670.1,61435.053,275413.491,631768.489
2015,954142.545,1121929.283,1196506.284,1102451.314,802511.864,534913.421,206875.821,51900.968,34328.01,69686.109,412363.526,782783.867
2016,935015.403,1061071.742,1085965.078,897713.709,674398.37,409279.155,126728.917,20920.352,16455.296,51368.062,272399.301,661302.63
2017,920306.38,1054684.604,1074042.309,1058836.655,822650.401,477592.748,171373.358,33743.289,31109.784,83011.651,415475.542,587516.474
2018,844322.732,1095144.125,1029593.173,,,,,,,,,
