Posição,PTS,J,V,E,D,GP,GC,SG,CA,CV,%,Recentes,Próx
1º  0  Atlético Mineiro - MG,59,27,18,5,4,44,20,24,53,4,72,V  D  V,
2º  +1  Palmeiras - SP,49,28,15,4,9,42,34,8,64,7,58,V  V  V,
3º  +1  Fortaleza - CE,48,28,14,6,8,38,30,8,62,5,57,V  V  V,
4º  -2  Flamengo - RJ,46,25,14,4,7,47,24,23,52,2,61,V  E  D,
5º  0  Red Bull Bragantino - SP,46,28,11,13,4,44,32,12,69,3,54,E  E  V,
6º  0  Internacional - RS,41,28,10,11,7,37,30,7,75,9,48,D  E  E,
7º  0  Corinthians - SP,41,28,10,11,7,30,26,4,39,2,48,V  D  E,
8º  0  Fluminense - RJ,39,28,10,9,9,28,30,-2,63,1,46,V  V  D,
9º  +2  Atlético - GO,37,27,9,10,8,24,24,0,71,7,45,D  V  V,
10º  +3  America - MG,35,28,8,11,9,27,29,-2,45,2,41,D  E  V,
11º  -2  Cuiabá - MT,35,28,7,14,7,27,28,-1,62,5,41,V  E  D,
12º  -2  Athletico Paranaense - PR,34,27,10,4,13,32,36,-4,62,6,41,E  D  D,
13º  -1  São Paulo - SP,34,28,7,13,8,22,27,-5,78,6,40,E  V  D,
14º  0  Ceará - CE,33,28,6,15,7,26,30,-4,67,3,39,D  E  E,
15º  +1  Bahia - BA,32,28,8,8,12,32,39,-7,75,1,38,E  V  E,
16º  -1  Santos - SP,32,28,7,11,10,25,34,-9,83,4,38,E  D  V,
17º  0  Juventude - RS,29,28,6,11,11,27,36,-9,72,4,34,D  D  E,
18º  0  Sport - PE,27,28,6,9,13,15,24,-9,70,3,32,D  E  D,
19º  0  Grêmio - RS,26,26,7,5,14,23,32,-9,75,4,33,D  V  D,
20º  0  Chapecoense - SC,13,28,1,10,17,24,49,-25,58,8,15,E  D  D,
